Date	Time	Text	Picture	Pic description
2025-01-10	9:30	💼 Kölle hät ene reiche Geschichte vun Arbeid un Handwerk! Vum Hafe bes zor Medienindustrie – mer tauche die Woch en de Arbeidswelt vun Kölle en. Bes do dabei? #Kölsch #Arbeit 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/Arbeit.png?raw=true	Das Bild zeigt eine Illustration mit einem Mann am Laptop, einem Uhrmacher und einer Kellnerin mit einem Kuchen. Darüber steht der Text: „Wellkumme en der Welt vun der Arbeid!“.
2025-01-10	13:30	🆕 Berofe em Alldag– Vokabeln liere! 👩‍🔧👨‍🏫  der Arzt/die Ärztin 🩺 - der Aaz/Dokter/de Dokterin der Lehrer/-in 🏫 - der Lehrer/-in der Bäcker/-in🥖 - der Bäcker/-in der Friseur/-in ✂️ - Friseur/-in der Verkäufer/-in 🛍️- der Verkäufer/-in der Ingenieur/-in 🏗️ - Ingenieur/-in der Kellner/-in 🍽️ - der Köbes/de Köbesse der Künstler/-in 🎨- der Künsler/in Fahrer/-in 🚗- der Fahrer/-in  Ärg glich, ov? Wat arbeids do?😊 #vokabeln #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/Berufe.png?raw=true	Das Bild zeigt verschiedene Berufe, dargestellt mit Illustrationen: Arzt/Ärztin, Ingenieur/-in, Fahrer/-in, Bäcker/-in, Friseur/-in, Lehrer/-in, Kellner/-in und Künstler/-in.
2025-01-10	16:30	💬 Woss do dat? 🤝 Klüngele – ene eche Kölsche Tradition! Et beschriev dat Netzwerkdenke, dat en Kölle suwall beroflich als och privat ene große Roll spillt. Häs do ald mol geklüngelt? 😉 #KölscheTradition #Netzwerken #kölsch #Arbeit #wossdodat	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-11	9:30	✍️Zigg zom Übe!  Konjugiere 2 Verben us dem Post unge! #ziggzomübe #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Zeit%20zum%20%C3%9Cben.png?raw=true	Dieses Bild zeigt den Schriftzug „Zigg zom Übe!“ auf der linken Seite. Auf der rechten Seite sitzt eine Person mit schwarzem Haar und einem grünen Pullover an einem Tisch. Sie schreibt mit einem blauen Stift auf ein Blatt Papier.
2025-01-11	13:30	💬 Woss do dat?   Et Kölsch🍺 wor lang Zigg dat Liebliengsdrank vun de Kölner Arbeider. Et woodt en dä traditionell Bräuese (Brauhäuser) serviert, die off Treffpunk noh der Arbeid wore.😁 #wossdodat #kölsch #Arbeit #Bier	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-11	16:30	Endlich Fierovend!  💃🕺 Dat kann mer noh dem Arbeidsdag dun: • noh Huus gonn🚶‍➡️🏠 • noh Huus pendele🚃🚗 • enkaufe gonn🛒 • met Fründe treffen 👯‍♂️ • en de  Weetschaff  gonn🍻 Wat mähs do noh der Arbeid? 😊  #kölsch #Arbeit #Feierabend                                                                                                                                                                                          		
2025-01-12	9:30	Hügg fange mer der neu Dag met Humor aan 🤭 Weil mer nor zo god wesse, wie schwer et es, morgens us dem kuschelige Beddche zo kreeche! 😄 #meme #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/meme%20Arbeit.png?raw=true	Das Bild zeigt Kermit den Frosch, der hektisch auf einer Tastatur tippt. Der Text darüber lautet: "Wann do Widder zor Arbeid gonn muss, ovschüns do eesch gester do wors:"
2025-01-12	13:30	🆕 Berofe em Alldag– Vokabeln liere! Deil 2👩‍🔧👨‍🏫  arbeiten 🛠️ - arbeide lernen 📘- liere lehren 🏫 - lehre backen 🥖- backe schneiden ✂️ - schnigge verkaufen 🛍️ - verkaufe entwerfen 🏗️- entwerfe bedienen 🍽️ - bedeene malen 🎨 - mole fahren 🚗- fahre  #kölsch #vokabeln #Arbeit		
2025-01-12	16:30	✍️Zigg zom Übe!  Konjugiere 2 Verben us dem Post unge! #ziggzomübe #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Zeit%20zum%20%C3%9Cben.png?raw=true	Dieses Bild zeigt den Schriftzug „Zigg zom Übe!“ auf der linken Seite. Auf der rechten Seite sitzt eine Person mit schwarzem Haar und einem grünen Pullover an einem Tisch. Sie schreibt mit einem blauen Stift auf ein Blatt Papier.
2025-01-13	9:30	💬 Woss do dat? Kölle hät ene lang Geschichte vun Arbeidsmannlück👨‍🔧, wie Böttcher (Fassmacher), Brauer un Steinmetzen. Die Berofe spillte ene zentral Roll beim Bau vum Kölner Dom un vun der Stadtentwicklung.🏙️ #wossdodat #Köln #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-13	13:30	✍️Zigg zom Übe! Schriev uns dä Berof, dä do usübst en de Kommentare.🤗👇 #ziggzomübe #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Zeit%20zum%20%C3%9Cben.png?raw=true	Dieses Bild zeigt den Schriftzug „Zigg zom Übe!“ auf der linken Seite. Auf der rechten Seite sitzt eine Person mit schwarzem Haar und einem grünen Pullover an einem Tisch. Sie schreibt mit einem blauen Stift auf ein Blatt Papier.
2025-01-13	16:30	🔤Wood vun der Woch  ✨fuule Kis✨ (Übersetzung: Faulpelz). Bes do en fließige Jobber ov mächs do gään off ene Kaffeepaus😏? #Kölsch #wortderwoche #woodvunderwoch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Wood%20vun%20der%20Woch!.png?raw=true	Das Bild zeigt den Text „Wood vun der Woch!“ in schwarzer Handschrift auf weißem Hintergrund. Daneben sind vier orangefarbene Quadrate mit den Buchstaben „A“, „B“, „C“ und einem Fragezeichen dargestellt. 
2025-01-14	9:30	💬 Woss do dat? En Kölle weed dat „Gefängnis“ Klingelpütz genannt. En „JVA-Beamter“ (Justizvollzugsbeamter) → Klingelpützwächter.😊 #kölsch wossdodat #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-14	13:30	💼 Berofe, de mer aan d'r Universität en Kölle studiere kann: 🧑‍🏫die Lehrkraft - de Lierkraff 🧑‍🔬der Biologe/dieBiologin - der/deBiologe 🧑‍⚖️der Jurist/-in - der/de Juriss  Un noch mih😉#Beruf #Uni #Arbeit #Kölsch	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/Universit%C3%A4t_Berufe.png?raw=true	Das Bild zeigt drei Berufe, dargestellt mit Emojis:  Links oben: "de Lierkraff" (die Lehrkraft), eine Person vor einer Tafel mit einem Buch in der Hand. Rechts oben: "der/de Juriss" (der/die Jurist:in), eine Person in Richterrobe mit einem Richterhammer. Unten: "der/de Biologe" (der/die Biolog:in), eine Person im Laborkittel mit einer Laborprobe in der Hand.
2025-01-14	16:30	 🧑‍🎓👩‍🎓👨‍🎓 Mer studieren noch, ävver woss do, dat de Universität zo Kölle och Usbildungen aanbeed? 🤔 #Ausbildung #Uni #Studium #kölsch #Arbeit		
2025-01-15	9:30	☕️Hück mol widder nor Blömcheskaffee em Bürro? Mer sin och noch nit ganz waach.🥱	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/Kaffee.png?raw=true	Das Bild zeigt einen Arbeitsplatz mit einem Laptop, einem Notizbuch, einer Kaffeetasse mit Latte Art und einer Person, die mit einem grünen Stift Notizen schreibt. Die Szene wirkt durch eine Fensterspiegelung leicht verschwommen.
2025-01-15	13:30	🕛En erholsame Meddagspaus aan üch! Arbeidt ehr em Bürro?👨‍💻 #Mittagspause #kölsch #Arbeit		
2025-01-15	16:30	🆕 Vokabeln för et Bürro💼🗄️: • Der Schreibtisch - der Schrievdesch • die Schreibtischlampe - de Schrievdeschlamp • der Computer - der Computer • die Computermaus – de Muus #kölsch #vokabeln #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Sechste%20Woche/Gegenst%C3%A4nde%20am%20Arbeitsplatz.png?raw=true	Das Bild zeigt vier Gegenstände: oben links einen Schreibtisch („der Schrievdesch“) mit Büchern und einer Lampe darauf, oben rechts eine Schreibtischlampe („de Schrievdeschlamp“) in Blau, unten links einen Laptop („der Computer“) und unten rechts eine Computermaus („de Muus“) in Pink.
2025-01-16	9:30	🧩Quizfrog Kanns do de Üvversetzung vun dem Berof errode? 'Der Kaminsfäger'. E Tipp: Hä es a Symbol för Glöck. 😊🍀 Antwood? 👇😏✨ #quiz #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%207_Quiz.png?raw=true	Das Bild zeigt einen grünen, lächelnden Frosch auf einem Blatt. Rechts oben befindet sich ein grüner Kreis mit einem weißen Häkchen darin. Links steht in einer handschriftlichen Schriftart der Text „Quizfrog!“.
2025-01-16	13:30	🧩Quizfrog Wie nenne mer de Kölsche Aat zo netzwerken? Schriev ding Antwööd en de Kommentare!👇 #quiz #kölsch #Arbeit	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%207_Quiz.png?raw=true	Das Bild zeigt einen grünen, lächelnden Frosch auf einem Blatt. Rechts oben befindet sich ein grüner Kreis mit einem weißen Häkchen darin. Links steht in einer handschriftlichen Schriftart der Text „Quizfrog!“.
2025-01-16	16:30	🗣️ Wat hälds dovun?     Mer wör jähn wesse, wie dir unsre Lektionen gefalle! Hässte Verbesserungsvorschläge oder Wünsche? Geev uns Ding Feedback!    📝 👉 Mer freue uns op Ding Antwoode!  #kölsch #feedback	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%207_Feedback.png?raw=true	Das Bild zeigt zwei gezeichnete Emojis: ein gelbes Emoji mit einem fröhlichen Gesicht oben rechts und ein lila Emoji mit einem nachdenklichen Gesicht unten rechts. Der Text in der Mitte lautet: „Gevv uns ding Feedback!“.
