Date	Time	Text	Picture	Pic description
2024-12-28	9:30	🎉 En e paar Dage es et Silvester! 🕛 Et Johr 2024 klink us – un do? Liers do Kölsch met uns wigger?🤗 #kölsch #silvester #feiern #2025	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen%20-%20Silvester%20-%20Fierte%20Woche/Silvester.png?raw=true	Das Bild zeigt den Schriftzug „JOHR 2025 LOADING …“ mit einer fast gefüllten Ladeleiste. Darum sind Silvester-Symbole angeordnet: ein Weihnachtsbaum, eine Partytröte, eine Champagnerflasche, Sektgläser, Konfetti und ein Feuerwerksymbol.
2024-12-28	13:30	🎵 „Let it Snow, Let it Snow“ op Kölsch? Iher: „Der Schnei bliev fott!“ 🌧️😂 #kölsch #silvester #feiern #2025		
2024-12-28	16:30	🍻 Kölle es bekannt för singe Fierkultur – un Silvester es do keine Usnahme! Weetschafte, Bars un Clubs en der Aldstadt un de janze Stadt beed besonder kölsche Silvesterpartys met Musik, Kölsch un joot Laune en. 🥳🎶 #kölsch #silvester #feiern #2025 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen%20-%20Silvester%20-%20Fierte%20Woche/Fierkultur.png?raw=true	Das Bild zeigt den Kölner Dom und Groß St. Martin hinter den bunten Häusern der Kölner Altstadt, umgeben von herbstlichem Laub. Im Vordergrund liegt die Rheinpromenade mit dem Pegelturm.
2024-12-29	9:30	📍 „Wo fängk mer et neue Johr am beste aan?“ Op dä Hohenzollernbröck ov am Rheinufer. Der Dom, et Feuerwerk un e paar Rakete – dat es Silvester en Kölle! 🎆🏰 #kölsch #silvester #feiern #2025 #köln	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen%20-%20Silvester%20-%20Fierte%20Woche/Rheinufer.png?raw=true	Das Bild zeigt ein buntes Feuerwerk über dem Kölner Dom und dem Rhein. Boote sind auf dem Wasser zu sehen, und die Hohenzollernbrücke ist rechts im Hintergrund.
2024-12-29	13:30	🆕 E paar Vokabeln, die ehr wesse mutt, öm et Silvester rääch fiere zo künne! 🍾 der Sekt - der Sek/et Bubbelwasser 🍀das Glück - et Glöck 🎆das Feuerwerk - et Füürwerk 🎊die Feier - de Fier 🎇die Wunderkerze - de Wunderkääz     Na, fäädig zom Fiere?😏 #kölsch #silvester #feiern #2025	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen%20-%20Silvester%20-%20Fierte%20Woche/Vokabeln.png?raw=true	Dieses Bild zeigt verschiedene Begriffe im Zusammenhang mit Feierlichkeiten, insbesondere zu Silvester, mit Illustrationen: eine Sektflasche (beschriftet mit „der Sekt/et Bubbelwasser“), ein Kleeblatt („et Glöck“), bunte Feuerwerkskörper („et Füürwerk“), eine Wunderkerze („de Wunderkäaz“) und Konfetti („de Fier“).
2024-12-29	16:30	💬 Woss do dat? 🚢 En Kölle geiht et och op dä Scheffe op däm Rhing! Do fängt mer et neue Johr ahn – met Dinner, Musik un Bleck op et Dom-Füürwerk! 🎆🥂🎶 #kölsch #silvester #feiern #2025 #wossdodat	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2024-12-30	9:30	⏰ Zigg för Grammatik! Mer han ald üvver de eesche Gruppe vun Verbe gesproche. Jetz es de Gruppe 2 dran!😀👉 Gruppe 2 – bei de Verbe fählt et -t en der 3. Pers. Sg.! z. B.: „Hä käch“ - er ächzt (statt kächt). Klingk joot, oder? 😄 #ziggförgrammatik #kölsch #silvester #feiern #2025	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Zigg%20f%C3%B6r%20Grammatik.png?raw=true	
2024-12-30	13:30	👋 Dä Kölsche veravscheed sich met Humor: „Wenn dat ald Johr nit joot wor, hätt dat neue vill Zigg, et besser zo maache!“ 😅 Wat es ding Plan för dat neue Johr? Schreib et uns gään en de Kommentare! #kölsch #silvester #feiern #2025		
2024-12-30	16:30	💬Woss do dat? 🎊🍾 „Joot neu Johr, Alaaf!“ 🎉 En Kölle geiht et noh Silvester tirek met Karneval wigger! Dä Kölsche rötsch quasi tirek vum         Johrwähßel en de Stroßekarneval. 🎭 #kölsch #silvester #feiern #2025 #köln #karneval	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2024-12-31	9:30	🍽️Wat jehört zu Silvester en Kölle? 🥘  • Himmel un Ääd (Püree met Appelmus un Blodwoosch) • Rheinischer Sauerbrode • Kappesmettwoosch (Grünkohl met Mettwoosch) Freus dich op dat perfekte Kölsche Silvester-Mohl! 🍴#kölsch #silvester #feiern #2025 #essen	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen%20-%20Silvester%20-%20Fierte%20Woche/Silvesteressen.png?raw=true	 Dieses Bild zeigt traditionelle rheinische Gerichte mit Beschriftungen: Oben links „Himmel un Ääd“ (Kartoffelpüree, Apfelkompott, gebratene Blutwurst und Zwiebeln). Oben rechts „Rheinischer Sauerbrade“ (marinierter Rinderbraten mit Sauce, Rotkohl und Kartoffelklößen). Unten „Kappesmettwoosch“ (Grünkohl, Kartoffeln und eine Mettwurst).
