Date	Time	Text	Picture	Pic description
2025-01-03	9:30	Un? Häs do noch de Fierdage üvverstande? 🤔 De erste Dage föhle sich immer wie Winterschlof aan. 🛌 Ävver kein Sorg, lanksam widder reinkumme! 💪 #kölsch #lernen		
2025-01-03	13:30	🧑‍🎓🏛️📚Zoröck zor Uni met uns! Egal, ov Studierende, zokünftig Studierende ov einfach Interesseerte – de Universität es mih als nor ene Oot zom Liere! Die Woch tauche wir en de Atmosphäre vun de Kölner Studente en! Bes do dabei?😉 #kölsch #Uni #Universität #köln 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illlustrationen_Universit%C3%A4t%20-%20liere_F%C3%BCnfte%20woche/Zor%C3%B6ck%20zor%20Uni.png?raw=true	Dieses Bild zeigt eine Illustration mit dem Schriftzug „Zoröck zor Uni!“ oben links. Auf der linken Seite sind zwei Studierende abgebildet, die Rucksäcke tragen und Bücher oder Ordner halten, während sie in Richtung eines Universitätsgebäudes gehen. Rechts befindet sich das Universitätsgebäude mit Säulen und einem roten und gelben Dach. Im Hintergrund sind stilisierte blaue Hochhäuser und eine strahlende Sonne zu sehen.
2025-01-03	16:30	🆕 E paar neu Vokablen, damet do met dem Studium klorküss  😊  ✍️notieren - vermerke 📕et Boch - das Buch 🖊️der Kulli, Kugelschriever -der Kugelschreieber ✏️ et/der Steff - der Stift 💯de Pröfung - die Prüfung 📖et Heff - das Heft Sin die Wööd dir ald em Alldag begähnt?🤗 #Vokabeln #kölsch #lernen #Universität 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illlustrationen_Universit%C3%A4t%20-%20liere_F%C3%BCnfte%20woche/Vokabeln.png?raw=true	Dieses Bild zeigt sechs Zeichnungen von Schulmaterialien und Begriffen auf Deutsch. Oben links ist eine Hand mit Stift und der Begriff „vermerke“. Oben in der Mitte ist ein Kugelschreiber mit der Beschriftung „der Kulli, Kugelschriever“. Oben rechts ist ein Bleistift mit der Beschriftung „et/der Steff“. Unten links befindet sich ein rotes Buch mit der Beschriftung „et Boch“. Unten in der Mitte ist eine Frau, die ein Blatt mit einer „100“-Bewertung hält, beschriftet mit „de Prüfung“. Unten rechts ist ein Spiralheft mit der Beschriftung „et Heff“.
2025-01-04	9:30	⏰ Zigg för Grammatik! „Dun“ + Infinitiv 1. Em Kölsch weed „dun“ (tun) zosamme met dem Infinitiv verwendt, öm die nah Zokunf ov en Absich uszodrocke. 2. Et zeigt och Regelmäßigkeit aan. ‼️ „dun“ nit zo off zu verwende.  Beispiele: 1. Hä deit hingerdren liere. 🛌(Er wird später lernen) 2. Ehr dot jede Woch Tests schrieve.😫 (Ihr schreibt jede Woche Tests)  Konjugation: ich dun, do deis, hä deit, mer dun, ehr dot, se dun (Partizip II: gedon)  #ziggförgrammatik 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Zigg%20f%C3%B6r%20Grammatik.png?raw=true	Das Bild zeigt einen stilisierten, gelben Wecker mit blauen Glocken oben rechts, der klingelt (symbolisiert durch kleine Linien, die von den Glocken ausgehen). Links daneben steht der Text „Zigg för Grammatik!“ in einer verspielten Schriftart.
2025-01-04	13:30	✍️ Zigg zom Übe! Schriev uns, wat do vörhäs und wat do regelmäßig mähs. Verwend dabei „dun“ + Infinitv 😉 👇Antwööd en de Kommentare! #ziggzomübe #kölsch #lernen 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Zeit%20zum%20%C3%9Cben.png?raw=true	Dieses Bild zeigt den Schriftzug „Zigg zom Übe!“ auf der linken Seite. Auf der rechten Seite sitzt eine Person mit schwarzem Haar und einem grünen Pullover an einem Tisch. Sie schreibt mit einem blauen Stift auf ein Blatt Papier.
2025-01-04	16:30	📚🎯Tipps zom Liere em neu Johr: 1️⃣ Schaff dir en räuhig Eck – Handy fott, Fokus aan! 2️⃣ Notz die Pomodoro-Technik: 25 Min. liere, 5 Min. Paus. 3️⃣ To-Do-Leste maache motiviert – fang met klein Aufgabe aan! ✅ 🎶 Met Musik em Hingergrund (z. B. Klassik) klapp et noch besser. 😉 Probier et us! #kölsch #tipps #lernen #Universität	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illlustrationen_Universit%C3%A4t%20-%20liere_F%C3%BCnfte%20woche/Tipps%20zom%20Liere.png?raw=true	Das Bild zeigt drei Tipps, die das Lernen erleichtern sollen, jeweils illustriert mit passenden Symbolen:  Links: Ein durchgestrichenes Handy in einem roten Kreis mit der Beschriftung „Handy fott!“ – ein Hinweis, Ablenkungen zu vermeiden. Mitte: Ein Blatt Papier mit einem Bleistift darüber und der Beschriftung „To-Do-Leste maache“ – ein Vorschlag, Aufgaben zu organisieren. Rechts: Ein Kopfhörer und Musiknoten mit der Beschriftung „Musik em Hingergrund hüre“ – eine Empfehlung, Hintergrundmusik beim Lernen zu hören.
2025-01-05	9:30	💬 Woss do dat? 📍🧑‍🎓 Kwartier Latäng (rund öm die Zülpicher Stroß) es e Hotspot för Studierende. Hee gitt es unzällige Weetschaffe, Bars un Restaurants, die vun Studierende besök weede. Vill klaafe, dat et baal e Ritual es, mindestens eimol während'm Studium „durch daz Latäng zo trecke“. 😊 #wossdodat #kölsch #lernen #KwartierLatäng #Köln #Universität	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-05	13:30	📆„Dat Semester fleeß wie der Rhing – immer wigger vöraan!“ Alsu loss dich nit stressen.😌🌊 #kölsch #lernen #Universität		
2025-01-05	16:30	💧🍎 Brainfood för dat Liere: • de Nösse 🥜  • et Obs 🍌 • Vill Wasser drinke 🚰 Dehydrierung? Feind Nr. 1 för Konzentration! 🧠 Tipp: Ene klein Spaziergang zweschendurch gitt dir extra Energie. 🌳🚶‍♂️ #Lernen #StudierenInKöln #tipps #kölsch #lernen #Universität #Konzentration	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illlustrationen_Universit%C3%A4t%20-%20liere_F%C3%BCnfte%20woche/Konzentration.png?raw=true	Das Bild zeigt eine Person, die in einem schmalen Flur auf dem Boden sitzt. Sie trägt ein weißes Hemd, Jeans und Socken. Ihre Beine sind ausgestreckt und gegen die gegenüberliegende Wand gestützt. Die Person liest ein Buch, dessen Vorderseite ihr Gesicht teilweise verdeckt. Das Bild ist in Schwarz-Weiß gehalten und vermittelt eine ruhige, konzentrierte Atmosphäre.
2025-01-06	9:30	💬 Woss do dat?  Fun-Facts üvver Universität zo Kölle, die do villleich nit gewoss häs! 1️⃣De Uni Kölle woodt ald 1388 gefunge – se es en vun de älteste Unis en Deutschland! 🎓📜 2️⃣Met üvver 45.000 Studierende gehürt de Uni Kölle zo de größte en Deutschland! 🤯🎒 3️⃣Der Konrad Adenauer, dä eeschte Bundeskanzler Deutschland, wor ene Absolvent vun der Universität zo Kölle! 🎓 #wossdodat #facts #kölsch #UzK #Universität #KonradAdenauer	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-06	13:30	🍽️ Ohne Esse geiht beim Liere nit! Die Haupmensa ann der Uni Kölle beed mega günstig Esse för Studierende! 🍝 Pasta, 🥗 Veggie-Gereeche ov 🍟🌭 Currywoosch – för jede Geschmack es wat dabei. ➡️ Perfekt för dat klein Budget un d'r groß Schless!🤤 #essen #kölsch #Mensa #Universität #lernen	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illlustrationen_Universit%C3%A4t%20-%20liere_F%C3%BCnfte%20woche/Mensa.png?raw=true	Das Bild zeigt die Außenansicht einer Mensa, erkennbar an dem gelben Schild mit der Aufschrift "Mensa". Eine breite Treppe mit Handläufen in der Mitte führt zum Eingangsbereich. Die Treppenwangen und Geländer sind mit Graffiti und Stickern verziert. Das Gebäude hat eine Fassade mit roten und grauen Elementen sowie großen Fenstern. Bäume und Sträucher umrahmen den Bereich, während die klare, sonnige Wetterlage das Bild beleuchtet.
2025-01-06	16:30	😴 Schlof = Erfolg! 7–9 Stunde Schlof sin nüdig, damet ding Geheen🧠 all speichert. Powernap gefällig? 10–20 Min. recke, öm dich fresch zo föhle! 🛌🌟 #schlafen #kölsch #lernen #Universität		
2025-01-07	9:30	💬 Woss do dat? 📚De Bibliothek vun der Uni Kölle es nit nor e Lieroot, sondern hät en der Pröfungsphas ehr eige Reiz. „Bib-Pause“ em Uni-Café ☕ ov op de Wiese🌳 vör der Bib sin för vill Studierende Deil vum Alldag. 😎 #wossdodat #kölsch #lernen #Bibliothek #Universität	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
