Date	Time	Text	Picture	Pic description
2025-01-24	17:30	🎉🎊🎭 Der Fastelovend  (der Kölner Karneval) es nit nor en Tradition, sondern e Levvesgeföhl! Av dem 11.11. weed en Kölle de Welt op der Kopp gestellt: Verkleidungen, Musik, Kamelle un pur Levvesfreud stonn em Meddelpunk. 🥳 Bes do bereit, en de Welt vum Fastelovend enzotauche un Kölsch zo liere? 🕺🎶 Loss uns aanfahre! #Karneval #KölschLernen #Alaaf #Fastelovend	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Fastelovend.png?raw=true	Menschen in bunten Kostümen feiern Karneval auf einer Straße, während rote und weiße Konfetti durch die Luft fliegen.
2025-01-24	18:30	💬 Woss do dat?  Kölle alaaf! Ävver woher kütt dä Rof? Höchstwahrscheinlich kutt alaaf vun „all af“, wat „über alles“ ov „alles andere weg“ bedüggt. „Kölle alaaf“ bedüggt esu „Köln über alles“ ov „Köln über alles“🥳 #wossdodat #Fastelovend #kölsch	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-25	9:30	💡 Fakt: Der Fastelovend en Kölle weed zigg dem Meddelalder gefiert. Eeschte schreffliche Üvverlivverunge finge sich us 1220🤯. Mer oß un drunk, danzte, drevv Verkleidungsspille un Ömzög zo Foß ov zo Pääd🐴 (Pferd). Alaaf! 🎉 #Karneval #Fastelovend #Kölsch	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Meddelalder.png?raw=true	Das Bild zeigt eine lebhafte mittelalterliche Szene, die den Kampf zwischen Karneval und Fasten darstellt, mit zahlreichen Menschen, die verschiedene Aktivitäten auf einem Stadtplatz ausführen.
2025-01-25	16:30	🆕 Wööd zom Fastelovend!🎭🎉 • de Kammelle🍬: Süßigkeiten, die beim Karnevalszug geworfen werden; • der Quetschebüggel🎶: die Zieharmonika; • schunkeln👯‍♀️: sich mit bei anderen Personen einghakten Armen von links nach rechts zur Musik bewegen #Vokabeln #kölsch #Fatelovend #Karneval	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Quetscheb%C3%BCggel.png?raw=true	Das Bild zeigt eine schwarze Ziehharmonika mit detailliertem Knopf- und Tastenmuster, das auf einem hellen Hintergrund liegt.
2025-01-26	9:30	🔤Wood vun der Woch! ✨et Kappegeseech✨ bedüggt iem Kölschen wörtlich „Hutgesicht“ un weed nor en der Redewendung verwendt: „Dä hät e aadig Kappegeseech.“ Da heiß: Jemand hät e usgesproche „Hutgesicht“, im stonn Höt besonders jooz! 👒🎩 #kölsch #Fatelovend #Karneval #woodvunderwoch	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Wood%20vun%20der%20Woch!.png?raw=true	Das Bild zeigt den Text „Wood vun der Woch!“ in schwarzer Handschrift auf weißem Hintergrund. Daneben sind vier orangefarbene Quadrate mit den Buchstaben „A“, „B“, „C“ und einem Fragezeichen dargestellt. 
2025-01-26	16:30	„Bütze“ bedüggt „küssen“😚. „Dat Bützche“ es „ein Küsschen“💋😄. Aan Fastelovend weed vill gebützt🤭. Dröm singe och de Räuber „Kölsche Junge bütze joot“😉: https://youtu.be/EF0GBaV1huM?si=uccFXTJjxBNOf4fj  #kölsch #Fatelovend #Karneval	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/B%C3%BCtze.png?raw=true	Rosa Hintergrund mit Text eines Karnevalslieds, dazu rote und pinke Lippenabdrücke als Dekoration.
2025-01-27	9:30	💬 Woss do dat? 👑„Jeck“ ov „Karnevalsjeck“ = eine närrische Person oder Karnevalist! Bes do schon jeck? 😉 #kölsch #Fatelovend #Karneval #wossdodat	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-27	16:30	🚃🤭 Dä Zoch: In Kölle trick dä Zoch (der Umzug) vun Wieverfastelovend bes Veilchendienstag durch Kölle. Dä Lück werfe Kamelle🍬 en Strüssjer 💐(kleine Blumensträuße). Do wells e Träck besöke?😀 Dann luur hee: https://www.koeln.de/karneval/umzuege/ll/karnevalszuege-veedelszuege/   #kölsch #Fatelovend #Karneval	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Kamelle%20werfen.png?raw=true	Zwei Karnevalisten in gelben Kostümen werfen Süßigkeiten in die Menge von einem Wagen.
2025-01-28	9:30	🍩 Fastelovends-Snack: „Mutzemandeln“ (ov Muuzemandeln) sin ene süß Genoss. Ähnlich wie Nonnefützche (Krapfen), ävver kleiner.😋	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Muuzemandeln.png?raw=true	Das Bild zeigt ein Teller mit frisch gebackenen, goldbraunen Muuzemandeln, kleinen frittierten Teigbällchen, die in Zucker gewälzt sind.
2025-01-28	16:30	🎭 Fun Fact: Vill verkleide sich als „Pänz“ (Kinder), „Piraten“ ov „Kölsche Clowns“. Wat es ding Lieblingskostüm? 🎩👒 #kölsch #Fatelovend #Karneval	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Achte%20Woche/Kost%C3%BCme.png?raw=true	Das Bild zeigt eine als Clown verkleidete Person mit roter Perücke, geschminktem Gesicht und buntem Schal, die vor einem Kölner Wappen steht.
