Date	Time	Text	Picture	Pic description
2025-01-17	9:30	En enem Kölsche Bräues zo bestelle, es mih als nor e Bier zo bestelle – et es en Erlebnis! 🍻 Hee triff Tradition op en enzigartige Sproch, die nit nor Kölsch es, sondern och en Kölsch gesproche weed. Die Woch liere mer die Traditione, die et köslche Bräues esu besonders maache 🗣️ Bes do fäädig, et Bräues-ABC zo entdecke? Pross! 🍺✨ #VirtuellesKölsch #KölnErleben #BrauhausKultur	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%206_Woss%20do%20dat.png?raw=true	Das Bild zeigt zwei Bierkrüge mit gelbem Bier und Schaum, die aneinander stoßen, wobei Spritzer sichtbar sind. Links daneben steht der Text „Pross!“ in einer handschriftlichen Schriftart.
2025-01-17	16:30	💬 Woss do dat? Et Kölsch es e obergärig Bier, dat dügg (bedeutet), dat die Heffe bei wärm Temperature gärt un dem Bier singe fresch, fruchtig Geschmack verleiht. 🌸 #Kölsch #Bier #wossdodat	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-18	9:30	Dat typische Kölsch-Glas heiß „Stange“ un faaß nor 0,2 L . Woröm su klein? Damet dat Bier immer fresch un köhl bliev! ❄️🍺 #VirtuellesKölsch #KölschFakt	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Siebte%20Woche/Stange.png?raw=true	Das Bild zeigt ein Kölschglas (Stange) vor der Kulisse des Kölner Doms und des Rheins bei Sonnenuntergang.
2025-01-18	16:30	🆕Vokabeln, öm em kölsche Bräues klorzokumme 🍻        • et Bräues - das Brauhaus • der Koon - das Korn (Kornbrand) • de Weetshaff(-schafte) - die Wirtschaft(en), Kneipe(n) • et Stößche - Kölsch im 0,1 l Glas • et Schoss - der Schuss (Kölsch mit einem Schuss Malzbier) #vokabeln #Kölsch #Brauhaus	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Siebte%20Woche/Vokabeln.png?raw=true	Das Bild zeigt das leuchtend rote Schild der Traditionsbrauerei "Früh" an einer historischen Fassade in Köln.
2025-01-19	9:30	💬 Woss do dat? 😎 Pro-Tipp: Wollt ehr kein neu Kölsch mih? Lägt der Bierdeckel op dat Glas – der Köbes versteiht dat Zeiche ✅🍺 #Brauhaus #KölschTipps #wossdodat	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-19	16:30	E ech Kölsch-Erlebnis: Dat Bier weed op enem groß, rund Tablett – der Kölschkranz – serviert. 🍻 #BrauhausTradition #Kölsch	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Siebte%20Woche/K%C3%B6lschkranz.png?raw=true	Das Bild zeigt ein Kölschkranz, ein spezielles Serviertablett mit mehreren kleinen Kölschgläsern, die mit Schaumkrone gefüllt sind, auf einem Tresen.
2025-01-20	9:30	🤔 Woröm es et Kölsch su besonders? Et es dat einzige Bier, dat nor en Kölle un Umgebung gebraut weede darf. 🌍🍺 Die Kölsch-Konvention regelt dat zick 1986!😮 #Kölsch #KölschKultur	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Siebte%20Woche/K%C3%B6lsch-Konvention.png?raw=true	Das Bild zeigt ein gerahmtes Dokument mit der Überschrift „Kölsch-Konvention“. Der Text ist detailliert und von mehreren Brauereien am unteren Rand unterschrieben.
2025-01-20	16:30	💬 Woss do dat?  Et gitt Rivalität met ander Bieraate, besonders met Altbier us Düsseldorp. Kölsch-Pötter (Trinker) nemme dat ävver iher met enem Augekniepe. 😉 #wossdodat #Kölsch 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Tag%202_Wusstest%20du%20das.png?raw=true	Dieses Bild zeigt die Frage „Woss do dat?“ in blauer Schrift und daneben eine leuchtende gelbe Glühbirne, die eine Idee oder Inspiration symbolisiert.
2025-01-21	9:30	🔤Wood vun der Woch!  ✨Pittermännchen✨  E Pittermännchen es e klein Faaß Kölsch (10 L)🤭. 🪣🍺 Et es em Kölner Raum e belieb Metbrängsel un kann off och en der Weetschaff bestellt weede. Dat Pittermännchen weed vum Köbes entweder op der Desch ov op ene eigen Bock gestellt. Dort künne die Besök selvs ehr Kölsch zappe. #WoodvunderWoch #Kölsch 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationnen_Zweite%20Woche/Wood%20vun%20der%20Woch!.png?raw=true	Das Bild zeigt den Text „Wood vun der Woch!“ in schwarzer Handschrift auf weißem Hintergrund. Daneben sind vier orangefarbene Quadrate mit den Buchstaben „A“, „B“, „C“ und einem Fragezeichen dargestellt. 
2025-01-21	16:30	‼️Achtung em Bräuse: Bezahlt weed meesch bar! 💶 E Lächeln un e klein Drinkgeld för der Köbes gehürre dazo. 😊🍻 #Brauhäuser #KölschKultur		
