Date	Time	Text	Picture
2024-12-20	9:30	🎄🎅Weihnachtsmaat, dat is allemolde e Geföhl! Wors do dis Johr ald op däm Weihnachtsmaat?✨🤗 #weihnachtsmaat #weihnachtsmarkt #köln #kölsh 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Welkumme%20op%20d%C3%A4m%20Weihnachtsmaat.png?raw=true
2024-12-20	13:30	🎄Op däm Weihnachtsmaat kann mer lecker 🍷Glöhwing drinke un „Noch ene Glöhwing, bitte!“ – es wohl dä Satz, dä mer derr am miehste hürt! 🥴🤭 Häs do dis Johr ald Glöhwing gedrunke?🤗 #weihnachtsmaat #weihnachtsmarkt #köln #kölsh #glühwein	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Gl%C3%B6hwing.png?raw=true
2024-12-20	16:30	🥶☕️Et es drusse iesich! Dozo pass ene wärm Kakao! Dat häld dich secher wärm, selvs bei däm schlemmste Wedder op däm Wiehnachtsmaat! 😀 🍫☕  Kakao met e Schoss Rom. Manchmal kütt och Schlagsahne drop. Statt Rom nimmp dä ene oder ander och Amaretto ov Kognak. Pross! 🎉 #kölsch #weihnachtsmarkt #weihnachtsmaat #kakao	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Kakao.png?raw=true
2024-12-21	9:30:00	 🍿🌭🥨🍩Esse ohne Eng! Öm rääch satt zo weede, kanns do dich och noch der Mutze (och "Muze" genannt)🍩 un der Rievkooche (Reibekuchen)🥔kaufe! Fresch gemaht un soooo lecker 🤤🤤🤤👉 Wat häs do ald all op däm Maat gegesse? Wat bungs do am leckersten? #essen #markt #wiehnachtsmarkt #kölsch #köln	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Rievkooche%20un%20Mutze.png?raw=true
2024-12-21	13:30	🥔 „Wo gitt et dä beste Rievkooche?“ Beliebte Antwort: „Do, wo de kleine Schlang es!“ 😄 #reibekuchen #witz #kölsch #weihnachtsmarkt	
2024-12-21	16:30	🎄„Et ruch hee üvverall noh Glöhwing un Zimp!“ 🕯️🍷 Kölsche Weihnachtsmaat-Atmosphäre pur!  #glühwein #zimt #kölsch #köln	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Weihnachts-Atmosph%C3%A4re.png?raw=true
2024-12-22	9:30	🕯️ Advent Advent … Der Weihnachtsmaat brennt! 😂 Hoffentlich bloß de Leechter un nit der Geldbüggel! 💶🔥 #advent #kölsch #weihnachtsmarkt	
2024-12-22	13:30	🍪 Sätze, die mer op däm Weihnachtsmaat immer hürt: 1️⃣ „Der Pott koss 4 Euro – met Pfand!“ 2️⃣ „Wat wells do för en Schokobanan?“ 3️⃣ „Rievkooche – do beküss do drei Stöcke!“ 🥔 #kölsch #weihnachtsmarkt	
2024-12-22	16:30	❄️ Heißt et „Tass“ ov „Pott“? Op Kölsch sage mer off einfach: „Ene Becher voll Glöhwing!“ 😂 #kölsch #weihnachtsmarkt	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Tass%20ov%20Pott.png?raw=true
23-12-2024	9:30	✨ Vokabel-Tipp: „Et Knusperhüüsche“ – dat es dä Stand, wo’s lecker Printen un Honigkooche gitt! 🍯🍪 #kölsch #weihnachtsmarkt #printen	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustrationen_Dritte%20Woche_Weihnachtsmaat/Knusperh%C3%BC%C3%BCsche.png?raw=true
